"","book","release","chapter","page","chapter_num","page_num","n_code","n_lrn_q","n_lrn_item","lrn_auto","mcq","association","shorttext","clozeassociation","imageclozeassociation","sortlist","formulaV2","choicematrix","plaintext"
"776","College / Advanced Statistics and Data Science (ABCD)","v5.1.1","Chapter 9 - Models with a Quantitative Explanatory Variable","9.12 Chapter 9 Review Questions",9,12,0,20,20,18,18,0,0,0,0,0,0,0,2
"777","College / Advanced Statistics and Data Science (ABCD)","v5.1.1","Chapter 9 - Models with a Quantitative Explanatory Variable","9.13 Chapter 9 Review Questions 2",9,13,0,11,11,11,11,0,0,0,0,0,0,0,0
"778","College / Advanced Statistics and Data Science (ABCD)","v5.1.1","Chapter 10 - The Logic of Inference","10.1 The Problem of Inference",10,1,0,3,3,3,3,0,0,0,0,0,0,0,0
"779","College / Advanced Statistics and Data Science (ABCD)","v5.1.1","Chapter 10 - The Logic of Inference","10.2 Constructing a Sampling Distribution",10,2,1,6,3,6,6,0,0,0,0,0,0,0,0
"780","College / Advanced Statistics and Data Science (ABCD)","v5.1.1","Chapter 10 - The Logic of Inference","10.3 Exploring the Sampling Distribution of b1",10,3,2,13,7,13,13,0,0,0,0,0,0,0,0
"781","College / Advanced Statistics and Data Science (ABCD)","v5.1.1","Chapter 10 - The Logic of Inference","10.4 The p-Value",10,4,1,10,6,10,10,0,0,0,0,0,0,0,0
"782","College / Advanced Statistics and Data Science (ABCD)","v5.1.1","Chapter 10 - The Logic of Inference","10.5 A Mathematical Model of the Sampling Distribution of b1",10,5,1,2,1,2,2,0,0,0,0,0,0,0,0
"783","College / Advanced Statistics and Data Science (ABCD)","v5.1.1","Chapter 10 - The Logic of Inference","10.6 Things That Affect p-Value",10,6,3,11,5,9,9,0,0,0,0,0,0,0,2
"784","College / Advanced Statistics and Data Science (ABCD)","v5.1.1","Chapter 10 - The Logic of Inference","10.7 Hypothesis Testing for Regression Models",10,7,4,9,5,7,7,0,0,0,0,0,0,0,2
"785","College / Advanced Statistics and Data Science (ABCD)","v5.1.1","Chapter 11 - Model Comparison with F","11.1 Moving Beyond b1",11,1,1,4,2,4,4,0,0,0,0,0,0,0,0
"786","College / Advanced Statistics and Data Science (ABCD)","v5.1.1","Chapter 11 - Model Comparison with F","11.2 Sampling Distributions of PRE and F",11,2,5,13,7,9,9,0,0,0,0,0,0,0,4
"787","College / Advanced Statistics and Data Science (ABCD)","v5.1.1","Chapter 11 - Model Comparison with F","11.3 The Sampling Distribution of F",11,3,2,9,5,8,8,0,0,0,0,0,0,0,1
"788","College / Advanced Statistics and Data Science (ABCD)","v5.1.1","Chapter 11 - Model Comparison with F","11.4 The F-Distribution: A Mathematical Model of the Sampling Distribution of F",11,4,1,4,2,2,2,0,0,0,0,0,0,0,2
